SUMLEV,STNAME,CTYNAME,POPESTIMATE2008,BIRTHS2008,DEATHS2008
050,Kansas,Rice County,10060,134,103
050,Kansas,Riley County,71069,1053,292
050,Kansas,Rooks County,5136,69,57
050,Kansas,Rush County,3232,39,50
050,Kansas,Russell County,6641,92,105
050,Kansas,Saline County,54657,825,519
050,Kansas,Scott County,4577,69,49
050,Kansas,Sedgwick County,482863,8358,3834
050,Kansas,Seward County,23016,533,112
050,Kansas,Shawnee County,174709,2675,1599
050,Kansas,Sheridan County,2510,25,22
050,Kansas,Sherman County,6013,83,65
050,Kansas,Smith County,3901,39,70
050,Kansas,Stafford County,4326,57,56
050,Kansas,Stanton County,2148,37,8
050,Kansas,Stevens County,5056,96,37
050,Kansas,Sumner County,23616,308,241
050,Kansas,Thomas County,7277,96,73
050,Kansas,Trego County,2882,38,42
050,Kansas,Wabaunsee County,6922,96,64
050,Kansas,Wallace County,1404,14,9
050,Kansas,Washington County,5791,67,78
050,Kansas,Wichita County,2148,35,9
050,Kansas,Wilson County,9698,135,135
050,Kansas,Woodson County,3285,32,52
050,Kansas,Wyandotte County,154287,2864,1307
040,Kentucky,Kentucky,4269245,57613,40881
050,Kentucky,Adair County,17773,219,180
050,Kentucky,Allen County,19090,243,202
050,Kentucky,Anderson County,21347,265,177
050,Kentucky,Ballard County,8323,98,109
050,Kentucky,Barren County,41566,579,447
050,Kentucky,Bath County,11750,153,133
050,Kentucky,Bell County,29055,362,371
050,Kentucky,Boone County,115231,1857,682
050,Kentucky,Bourbon County,19828,245,203
050,Kentucky,Boyd County,48560,583,587
050,Kentucky,Boyle County,28933,326,302
050,Kentucky,Bracken County,8569,119,79
050,Kentucky,Breathitt County,15813,178,206
050,Kentucky,Breckinridge County,19132,247,201
050,Kentucky,Bullitt County,75028,834,472
050,Kentucky,Butler County,13276,162,128
050,Kentucky,Caldwell County,12866,144,160
050,Kentucky,Calloway County,36240,388,340
050,Kentucky,Campbell County,87038,1140,849
050,Kentucky,Carlisle County,5162,62,63
050,Kentucky,Carroll County,10627,158,121
050,Kentucky,Carter County,27454,356,297
050,Kentucky,Casey County,16214,189,183
050,Kentucky,Christian County,79820,1680,658
050,Kentucky,Clark County,35691,460,343
050,Kentucky,Clay County,23930,270,246
050,Kentucky,Clinton County,9568,123,134
050,Kentucky,Crittenden County,9244,109,115
050,Kentucky,Cumberland County,6817,76,94
050,Kentucky,Daviess County,94418,1374,926
050,Kentucky,Edmonson County,12085,122,108
050,Kentucky,Elliott County,7280,80,91
050,Kentucky,Estill County,14948,191,190
050,Kentucky,Fayette County,282114,4027,2040
050,Kentucky,Fleming County,14735,195,147
050,Kentucky,Floyd County,42094,553,499
050,Kentucky,Franklin County,48844,614,487
050,Kentucky,Fulton County,6855,74,95
050,Kentucky,Gallatin County,8071,126,84
050,Kentucky,Garrard County,17021,193,141
050,Kentucky,Grant County,25549,404,209
050,Kentucky,Graves County,37487,472,436
050,Kentucky,Grayson County,25497,337,271
050,Kentucky,Green County,11613,125,131
050,Kentucky,Greenup County,37388,431,415
050,Kentucky,Hancock County,8663,123,79
050,Kentucky,Hardin County,98546,1561,739
050,Kentucky,Harlan County,30783,387,423
050,Kentucky,Harrison County,18654,238,186
050,Kentucky,Hart County,18561,241,180
050,Kentucky,Henderson County,45462,618,440
050,Kentucky,Henry County,15741,199,153
050,Kentucky,Hickman County,4936,49,70
050,Kentucky,Hopkins County,46338,585,553
050,Kentucky,Jackson County,13645,167,166
050,Kentucky,Jefferson County,713877,10074,7070
050,Kentucky,Jessamine County,46716,663,350
050,Kentucky,Johnson County,24056,303,276
050,Kentucky,Kenton County,157629,2445,1307
050,Kentucky,Knott County,17385,180,172
050,Kentucky,Knox County,32810,519,381
050,Kentucky,Larue County,13722,164,168
050,Kentucky,Laurel County,57586,771,538
050,Kentucky,Lawrence County,16443,197,175
050,Kentucky,Lee County,7414,75,99
050,Kentucky,Leslie County,11639,134,137
050,Kentucky,Letcher County,23890,295,304
050,Kentucky,Lewis County,13807,185,156
050,Kentucky,Lincoln County,25072,336,256
050,Kentucky,Livingston County,9591,97,116
050,Kentucky,Logan County,27117,359,288
050,Kentucky,Lyon County,8245,60,108
050,Kentucky,McCracken County,65109,816,735
050,Kentucky,McCreary County,17315,248,184
050,Kentucky,McLean County,9681,109,112
050,Kentucky,Madison County,82192,1079,584
050,Kentucky,Magoffin County,13151,175,129
050,Kentucky,Marion County,19063,272,178
050,Kentucky,Marshall County,31189,340,374
050,Kentucky,Martin County,11602,146,121
050,Kentucky,Mason County,17414,204,186
050,Kentucky,Meade County,27043,251,166
050,Kentucky,Menifee County,6744,74,77
050,Kentucky,Mercer County,21920,272,232
050,Kentucky,Metcalfe County,10288,134,129
050,Kentucky,Monroe County,11547,148,135
050,Kentucky,Montgomery County,25618,361,222
050,Kentucky,Morgan County,14156,153,126
050,Kentucky,Muhlenberg County,31187,365,369
050,Kentucky,Nelson County,43113,632,311
050,Kentucky,Nicholas County,6811,90,86
050,Kentucky,Ohio County,23789,334,273
050,Kentucky,Oldham County,56874,651,314
050,Kentucky,Owen County,11432,139,105
050,Kentucky,Owsley County,4634,61,68
050,Kentucky,Pendleton County,14992,178,130
050,Kentucky,Perry County,29241,382,365
050,Kentucky,Pike County,65331,729,777
050,Kentucky,Powell County,13859,184,171
050,Kentucky,Pulaski County,60851,777,690
050,Kentucky,Robertson County,2202,20,19
050,Kentucky,Rockcastle County,16788,199,189
050,Kentucky,Rowan County,22733,269,195
050,Kentucky,Russell County,17296,205,188
050,Kentucky,Scott County,44549,714,236
050,Kentucky,Shelby County,41157,593,297
050,Kentucky,Simpson County,17019,213,172
050,Kentucky,Spencer County,17382,211,106
050,Kentucky,Taylor County,24069,291,254
050,Kentucky,Todd County,12173,186,122
050,Kentucky,Trigg County,13418,155,147
050,Kentucky,Trimble County,9012,118,89
050,Kentucky,Union County,15024,164,170
050,Kentucky,Warren County,105862,1502,847
050,Kentucky,Washington County,11595,150,112
050,Kentucky,Wayne County,20696,250,222
050,Kentucky,Webster County,13669,193,152
050,Kentucky,Whitley County,38668,488,466
050,Kentucky,Wolfe County,6989,113,108
050,Kentucky,Woodford County,24526,307,199
040,Louisiana,Louisiana,4410796,63649,40557
050,Louisiana,Acadia Parish,60070,1001,640
050,Louisiana,Allen Parish,25635,336,223
050,Louisiana,Ascension Parish,101789,1724,653
050,Louisiana,Assumption Parish,22881,284,213
050,Louisiana,Avoyelles Parish,42360,654,499
050,Louisiana,Beauregard Parish,34978,472,316
050,Louisiana,Bienville Parish,14728,200,211
050,Louisiana,Bossier Parish,110250,1770,867
050,Louisiana,Caddo Parish,252895,3817,2596
050,Louisiana,Calcasieu Parish,185618,2817,1788
050,Louisiana,Caldwell Parish,10353,121,112
050,Louisiana,Cameron Parish,7238,58,53
050,Louisiana,Catahoula Parish,10522,155,109
050,Louisiana,Claiborne Parish,16142,170,193
050,Louisiana,Concordia Parish,19064,272,224
050,Louisiana,De Soto Parish,26388,379,297
050,Louisiana,East Baton Rouge Parish,428360,6192,3507
050,Louisiana,East Carroll Parish,8166,146,87
050,Louisiana,East Feliciana Parish,20874,262,234
050,Louisiana,Evangeline Parish,35624,555,393
050,Louisiana,Franklin Parish,20006,300,249
050,Louisiana,Grant Parish,19974,260,193
050,Louisiana,Iberia Parish,75097,1158,692
050,Louisiana,Iberville Parish,32545,470,337
050,Louisiana,Jackson Parish,15191,202,192
050,Louisiana,Jefferson Parish,436181,5513,4153
050,Louisiana,Jefferson Davis Parish,31263,463,340
050,Louisiana,Lafayette Parish,206976,3191,1558
050,Louisiana,Lafourche Parish,92572,1209,780
050,Louisiana,La Salle Parish,14062,181,163
050,Louisiana,Lincoln Parish,42561,591,346
050,Louisiana,Livingston Parish,120256,1818,844
050,Louisiana,Madison Parish,11790,211,155
050,Louisiana,Morehouse Parish,28602,380,390
050,Louisiana,Natchitoches Parish,39576,639,384
050,Louisiana,Orleans Parish,311853,3738,2844
050,Louisiana,Ouachita Parish,150051,2388,1401
050,Louisiana,Plaquemines Parish,21276,270,162
050,Louisiana,Pointe Coupee Parish,22401,313,252
050,Louisiana,Rapides Parish,133131,1997,1374
050,Louisiana,Red River Parish,9118,144,95
050,Louisiana,Richland Parish,20501,309,245
050,Louisiana,Sabine Parish,23688,350,227
050,Louisiana,St. Bernard Parish,37722,393,194
050,Louisiana,St. Charles Parish,51547,721,396
050,Louisiana,St. Helena Parish,10546,113,113
050,Louisiana,St. James Parish,21231,331,197
050,Louisiana,St. John the Baptist Parish,46994,753,357
050,Louisiana,St. Landry Parish,92173,1443,952
050,Louisiana,St. Martin Parish,52097,768,454
050,Louisiana,St. Mary Parish,51083,781,513
050,Louisiana,St. Tammany Parish,228456,3161,1863
050,Louisiana,Tangipahoa Parish,117001,1893,1103
050,Louisiana,Tensas Parish,5694,85,73
050,Louisiana,Terrebonne Parish,108576,1744,861
050,Louisiana,Union Parish,22692,321,257
050,Louisiana,Vermilion Parish,56096,808,559
050,Louisiana,Vernon Parish,45639,853,319
050,Louisiana,Washington Parish,45430,665,560
050,Louisiana,Webster Parish,40754,542,546
050,Louisiana,West Baton Rouge Parish,22553,336,214
050,Louisiana,West Carroll Parish,11495,137,132
050,Louisiana,West Feliciana Parish,15003,123,115
050,Louisiana,Winn Parish,15408,198,188
040,Maine,Maine,1316456,14284,12213
050,Maine,Androscoggin County,106877,1388,1019
050,Maine,Aroostook County,71676,720,837
050,Maine,Cumberland County,276047,2983,2289
050,Maine,Franklin County,29857,301,274
050,Maine,Hancock County,53137,540,541
050,Maine,Kennebec County,120959,1300,1134
050,Maine,Knox County,40686,419,416
050,Maine,Lincoln County,34628,318,379
050,Maine,Oxford County,56741,596,584
050,Maine,Penobscot County,148651,1698,1315
050,Maine,Piscataquis County,16961,175,209
050,Maine,Sagadahoc County,36332,410,310
050,Maine,Somerset County,51377,542,527
050,Maine,Waldo County,38342,404,357
050,Maine,Washington County,32499,354,414
050,Maine,York County,201686,2136,1608
040,Maryland,Maryland,5633597,76369,44374
050,Maryland,Allegany County,72238,714,882
050,Maryland,Anne Arundel County,512790,6674,3758
050,Maryland,Baltimore County,785618,9682,7673
050,Maryland,Calvert County,88698,1077,626
050,Maryland,Caroline County,33138,501,306
050,Maryland,Carroll County,169353,2088,1317
050,Maryland,Cecil County,99926,1347,779
050,Maryland,Charles County,140764,1936,866
050,Maryland,Dorchester County,31998,394,411
050,Maryland,Frederick County,225721,3102,1457
050,Maryland,Garrett County,29698,322,312
050,Maryland,Harford County,240351,3012,1727
050,Maryland,Howard County,274995,3424,1332
050,Maryland,Kent County,20151,232,229
050,Maryland,Montgomery County,950680,13029,5455
050,Maryland,Prince George's County,820852,12239,5422
050,Maryland,Queen Anne's County,47091,533,361
050,Maryland,St. Mary's County,101578,1610,685
050,Maryland,Somerset County,26119,292,263
050,Maryland,Talbot County,36215,424,447
050,Maryland,Washington County,145384,1910,1350
050,Maryland,Wicomico County,94046,1354,889
050,Maryland,Worcester County,49274,511,573
050,Maryland,Baltimore city,636919,9962,7254
040,Massachusetts,Massachusetts,6497967,78776,54178
050,Massachusetts,Barnstable County,221049,1986,2750
050,Massachusetts,Berkshire County,129395,1307,1489
050,Massachusetts,Bristol County,545823,6494,4983
050,Massachusetts,Dukes County,15527,186,140
050,Massachusetts,Essex County,736457,9237,6301
050,Massachusetts,Franklin County,71735,712,621
050,Massachusetts,Hampden County,460840,5980,4375
050,Massachusetts,Hampshire County,154983,1283,1179
050,Massachusetts,Middlesex County,1482478,17988,11111
050,Massachusetts,Nantucket County,11215,170,70
050,Massachusetts,Norfolk County,659909,7701,5410
050,Massachusetts,Plymouth County,492066,6007,4019
050,Massachusetts,Suffolk County,732684,9748,5125
050,Massachusetts,Worcester County,783806,9977,6605
040,Michigan,Michigan,10003422,129689,84277
050,Michigan,Alcona County,11556,72,167
050,Michigan,Alger County,9438,84,97
050,Michigan,Allegan County,112975,1541,823
050,Michigan,Alpena County,29520,297,335
050,Michigan,Antrim County,24109,249,233
050,Michigan,Arenac County,16361,179,172
050,Michigan,Baraga County,8528,97,94
050,Michigan,Barry County,58890,740,472
050,Michigan,Bay County,107495,1282,1058
050,Michigan,Benzie County,17396,204,180
050,Michigan,Berrien County,159481,2086,1560
050,Michigan,Branch County,45726,638,423
050,Michigan,Calhoun County,135861,1882,1346
050,Michigan,Cass County,50185,535,452
050,Michigan,Charlevoix County,25936,298,247
050,Michigan,Cheboygan County,26354,270,271
050,Michigan,Chippewa County,38971,416,296
050,Michigan,Clare County,30312,341,381
050,Michigan,Clinton County,69726,885,472
050,Michigan,Crawford County,14463,135,144
050,Michigan,Delta County,37179,418,402
050,Michigan,Dickinson County,26812,286,308
050,Michigan,Eaton County,106781,1256,814
050,Michigan,Emmet County,33535,372,281
050,Michigan,Genesee County,428790,6058,3813
050,Michigan,Gladwin County,25920,262,292
050,Michigan,Gogebic County,16043,134,226
050,Michigan,Grand Traverse County,86071,1055,698
050,Michigan,Gratiot County,42245,515,417
050,Michigan,Hillsdale County,46212,583,431
050,Michigan,Houghton County,35174,433,342
050,Michigan,Huron County,32805,333,440
050,Michigan,Ingham County,277528,3711,1858
050,Michigan,Ionia County,63833,856,435
050,Michigan,Iosco County,25932,252,377
050,Michigan,Iron County,12001,97,191
050,Michigan,Isabella County,66778,808,408
050,Michigan,Jackson County,160180,2164,1481
050,Michigan,Kalamazoo County,245912,3315,1858
050,Michigan,Kalkaska County,17066,237,148
050,Michigan,Kent County,605213,9618,4012
050,Michigan,Keweenaw County,2202,18,19
050,Michigan,Lake County,11014,119,134
050,Michigan,Lapeer County,90875,1057,647
050,Michigan,Leelanau County,21783,209,183
050,Michigan,Lenawee County,100801,1269,855
050,Michigan,Livingston County,182575,2101,1089
050,Michigan,Luce County,6614,68,69
050,Michigan,Mackinac County,10624,105,119
050,Michigan,Macomb County,830663,10153,7241
050,Michigan,Manistee County,24640,255,278
050,Michigan,Marquette County,65492,677,604
050,Michigan,Mason County,28782,326,313
050,Michigan,Mecosta County,41562,469,341
050,Michigan,Menominee County,24202,260,254
050,Michigan,Midland County,82605,930,654
050,Michigan,Missaukee County,15001,170,145
050,Michigan,Monroe County,152949,1855,1226
050,Michigan,Montcalm County,62971,863,548
050,Michigan,Montmorency County,10335,88,151
050,Michigan,Muskegon County,174344,2456,1534
050,Michigan,Newaygo County,48897,661,420
050,Michigan,Oakland County,1202174,14118,8954
050,Michigan,Oceana County,27598,406,220
050,Michigan,Ogemaw County,21016,228,280
050,Michigan,Ontonagon County,6819,47,109
050,Michigan,Osceola County,22930,307,205
050,Michigan,Oscoda County,8836,90,124
050,Michigan,Otsego County,23808,280,230
050,Michigan,Ottawa County,260364,3801,1523
050,Michigan,Presque Isle County,13650,127,177
050,Michigan,Roscommon County,25042,229,367
050,Michigan,Saginaw County,200745,2569,1992
050,Michigan,St. Clair County,168894,2083,1456
050,Michigan,St. Joseph County,62232,960,554
050,Michigan,Sanilac County,43024,552,452
050,Michigan,Schoolcraft County,8220,76,117
050,Michigan,Shiawassee County,70880,889,606
050,Michigan,Tuscola County,56187,684,540
050,Michigan,Van Buren County,77801,1066,680
050,Michigan,Washtenaw County,347376,4253,1883
050,Michigan,Wayne County,1949929,27389,18230
050,Michigan,Wexford County,31673,432,299
040,Minnesota,Minnesota,5220393,73657,37959
050,Minnesota,Aitkin County,15736,165,185
050,Minnesota,Anoka County,327090,4459,1522
050,Minnesota,Becker County,32000,450,327
050,Minnesota,Beltrami County,43835,700,338
050,Minnesota,Benton County,39878,606,313
050,Minnesota,Big Stone County,5365,56,83
050,Minnesota,Blue Earth County,60401,783,441
050,Minnesota,Brown County,25862,303,267
050,Minnesota,Carlton County,33933,436,332
050,Minnesota,Carver County,90043,1336,346
050,Minnesota,Cass County,28732,384,282
050,Minnesota,Chippewa County,12414,160,142
050,Minnesota,Chisago County,50257,744,338
050,Minnesota,Clay County,55767,786,406
050,Minnesota,Clearwater County,8249,124,97
050,Minnesota,Cook County,5437,51,32
050,Minnesota,Cottonwood County,11283,138,141
050,Minnesota,Crow Wing County,62172,842,569
050,Minnesota,Dakota County,392755,5608,1869
050,Minnesota,Dodge County,19751,301,124
050,Minnesota,Douglas County,36258,472,373
050,Minnesota,Faribault County,14624,179,203
050,Minnesota,Fillmore County,20850,296,241
050,Minnesota,Freeborn County,30927,396,360
050,Minnesota,Goodhue County,45897,617,435
050,Minnesota,Grant County,6005,70,84
050,Minnesota,Hennepin County,1140988,16307,7616
050,Minnesota,Houston County,19245,218,175
050,Minnesota,Hubbard County,18810,242,189
050,Minnesota,Isanti County,39105,530,258
050,Minnesota,Itasca County,44512,540,481
050,Minnesota,Jackson County,10734,111,131
050,Minnesota,Kanabec County,16091,184,131
050,Minnesota,Kandiyohi County,40679,618,351
050,Minnesota,Kittson County,4462,39,65
050,Minnesota,Koochiching County,13251,137,160
050,Minnesota,Lac qui Parle County,7165,78,105
050,Minnesota,Lake County,10609,100,133
050,Minnesota,Lake of the Woods County,3985,43,53
050,Minnesota,Le Sueur County,28042,389,225
050,Minnesota,Lincoln County,5837,71,91
050,Minnesota,Lyon County,24844,334,226
050,Minnesota,McLeod County,37165,561,291
050,Minnesota,Mahnomen County,5128,104,33
050,Minnesota,Marshall County,9502,116,86
050,Minnesota,Martin County,20435,245,257
050,Minnesota,Meeker County,23143,336,237
050,Minnesota,Mille Lacs County,26377,389,246
050,Minnesota,Morrison County,32893,460,309
050,Minnesota,Mower County,37859,543,386
050,Minnesota,Murray County,8389,90,85
050,Minnesota,Nicollet County,32027,403,218
050,Minnesota,Nobles County,20365,319,180
050,Minnesota,Norman County,6605,76,102
050,Minnesota,Olmsted County,141360,2257,855
050,Minnesota,Otter Tail County,56786,657,662
050,Minnesota,Pennington County,13747,205,140
050,Minnesota,Pine County,28297,345,243
050,Minnesota,Pipestone County,9395,135,135
050,Minnesota,Polk County,30694,424,357
050,Minnesota,Pope County,11030,129,140
050,Minnesota,Ramsey County,501428,7275,3926
050,Minnesota,Red Lake County,4069,53,37
050,Minnesota,Redwood County,15493,200,194
050,Minnesota,Renville County,15861,204,188
050,Minnesota,Rice County,62390,845,442
050,Minnesota,Rock County,9476,143,127
050,Minnesota,Roseau County,15865,221,128
050,Minnesota,St. Louis County,196864,2265,2039
050,Minnesota,Scott County,128937,2302,486
050,Minnesota,Sherburne County,87660,1428,453
050,Minnesota,Sibley County,14954,216,136
050,Minnesota,Stearns County,147076,2067,836
050,Minnesota,Steele County,36546,565,279
050,Minnesota,Stevens County,9661,106,74
050,Minnesota,Swift County,11035,123,121
050,Minnesota,Todd County,23917,330,225
050,Minnesota,Traverse County,3660,35,50
050,Minnesota,Wabasha County,21813,273,189
050,Minnesota,Wadena County,13311,190,191
050,Minnesota,Waseca County,19443,283,158
050,Minnesota,Washington County,229173,3136,1130
050,Minnesota,Watonwan County,10860,150,104
050,Minnesota,Wilkin County,6286,80,69
050,Minnesota,Winona County,49879,589,396
050,Minnesota,Wright County,119701,2259,640
050,Minnesota,Yellow Medicine County,9958,122,139
040,Mississippi,Mississippi,2938618,45832,27834
050,Mississippi,Adams County,31307,431,393
050,Mississippi,Alcorn County,35673,490,402
050,Mississippi,Amite County,13248,180,152
050,Mississippi,Attala County,19671,317,263
050,Mississippi,Benton County,8116,113,64
050,Mississippi,Bolivar County,37195,628,399
050,Mississippi,Calhoun County,14508,207,144
050,Mississippi,Carroll County,10367,134,89
050,Mississippi,Chickasaw County,18826,299,185
050,Mississippi,Choctaw County,9090,106,82
050,Mississippi,Claiborne County,10848,153,120
050,Mississippi,Clarke County,17378,235,187
050,Mississippi,Clay County,20860,320,226
050,Mississippi,Coahoma County,27272,527,327
050,Mississippi,Copiah County,29331,472,304
050,Mississippi,Covington County,20526,315,230
050,Mississippi,DeSoto County,154748,2322,983
050,Mississippi,Forrest County,79425,1287,689
050,Mississippi,Franklin County,8316,125,77
050,Mississippi,George County,22406,387,202
050,Mississippi,Greene County,13818,160,99
050,Mississippi,Grenada County,22995,344,289
050,Mississippi,Hancock County,40140,469,346
050,Mississippi,Harrison County,178460,2824,1549
050,Mississippi,Hinds County,247650,4045,1983
050,Mississippi,Holmes County,20595,396,238
050,Mississippi,Humphreys County,10089,217,130
050,Mississippi,Issaquena County,1658,14,4
050,Mississippi,Itawamba County,23175,306,250
050,Mississippi,Jackson County,130694,1902,1104
050,Mississippi,Jasper County,18253,272,185
050,Mississippi,Jefferson County,8872,132,73
050,Mississippi,Jefferson Davis County,12653,179,158
050,Mississippi,Jones County,67198,1152,697
050,Mississippi,Kemper County,9967,135,91
050,Mississippi,Lafayette County,43922,551,330
050,Mississippi,Lamar County,49121,828,317
050,Mississippi,Lauderdale County,78180,1256,913
050,Mississippi,Lawrence County,13370,203,127
050,Mississippi,Leake County,22844,407,266
050,Mississippi,Lee County,81139,1326,851
050,Mississippi,Leflore County,35185,597,365
050,Mississippi,Lincoln County,34931,535,381
050,Mississippi,Lowndes County,59284,927,550
050,Mississippi,Madison County,91369,1476,1034
050,Mississippi,Marion County,25830,425,338
050,Mississippi,Marshall County,37102,558,368
050,Mississippi,Monroe County,37250,549,392
050,Mississippi,Montgomery County,11266,156,140
050,Mississippi,Neshoba County,30530,552,303
050,Mississippi,Newton County,22355,376,222
050,Mississippi,Noxubee County,11828,206,121
050,Mississippi,Oktibbeha County,43944,647,289
050,Mississippi,Panola County,35660,602,366
050,Mississippi,Pearl River County,57466,782,550
050,Mississippi,Perry County,12235,182,107
050,Mississippi,Pike County,39961,668,463
050,Mississippi,Pontotoc County,29004,458,231
050,Mississippi,Prentiss County,25707,329,228
050,Mississippi,Quitman County,8724,119,128
050,Mississippi,Rankin County,140901,2191,902
050,Mississippi,Scott County,28850,510,274
050,Mississippi,Sharkey County,5556,92,45
050,Mississippi,Simpson County,28034,426,317
050,Mississippi,Smith County,15809,217,166
050,Mississippi,Stone County,16025,233,138
050,Mississippi,Sunflower County,30697,508,326
050,Mississippi,Tallahatchie County,13027,225,149
050,Mississippi,Tate County,27176,430,256
050,Mississippi,Tippah County,21210,336,227
050,Mississippi,Tishomingo County,18947,243,257
050,Mississippi,Tunica County,10448,219,96
050,Mississippi,Union County,27212,386,244
050,Mississippi,Walthall County,15416,224,168
050,Mississippi,Warren County,48087,794,491
050,Mississippi,Washington County,55079,928,601
050,Mississippi,Wayne County,20755,309,195
050,Mississippi,Webster County,9887,136,135
050,Mississippi,Wilkinson County,10283,153,131
050,Mississippi,Winston County,19575,285,222
050,Mississippi,Yalobusha County,13645,217,153
050,Mississippi,Yazoo County,28464,460,247
040,Missouri,Missouri,5911605,82985,53170
050,Missouri,Adair County,24943,301,218
050,Missouri,Andrew County,16923,199,153
050,Missouri,Atchison County,6031,64,75
050,Missouri,Audrain County,26049,398,292
050,Missouri,Barry County,36301,556,398
050,Missouri,Barton County,12531,165,130
050,Missouri,Bates County,17075,229,197
050,Missouri,Benton County,18349,178,256
050,Missouri,Bollinger County,11990,158,120
050,Missouri,Boone County,154365,2198,884
050,Missouri,Buchanan County,89408,1312,871
050,Missouri,Butler County,41383,563,512
050,Missouri,Caldwell County,9248,133,99
050,Missouri,Callaway County,43464,542,318
050,Missouri,Camden County,40664,462,417
050,Missouri,Cape Girardeau County,73243,981,691
050,Missouri,Carroll County,9756,116,129
050,Missouri,Carter County,5890,79,69
050,Missouri,Cass County,98429,1407,785
050,Missouri,Cedar County,13652,173,190
050,Missouri,Chariton County,7740,100,104
050,Missouri,Christian County,75479,1150,530
050,Missouri,Clark County,7180,95,82
050,Missouri,Clay County,215707,3306,1455
050,Missouri,Clinton County,21094,286,229
050,Missouri,Cole County,74313,1021,560
050,Missouri,Cooper County,17535,217,179
050,Missouri,Crawford County,23970,349,269
050,Missouri,Dade County,7418,81,110
050,Missouri,Dallas County,16844,255,169
050,Missouri,Daviess County,7911,135,85
050,Missouri,DeKalb County,12275,125,115
050,Missouri,Dent County,15199,179,185
050,Missouri,Douglas County,13438,154,147
050,Missouri,Dunklin County,31454,492,424
050,Missouri,Franklin County,100898,1377,868
050,Missouri,Gasconade County,15261,176,200
050,Missouri,Gentry County,6185,76,83
050,Missouri,Greene County,266944,3845,2307
050,Missouri,Grundy County,10125,138,146
050,Missouri,Harrison County,8844,113,115
050,Missouri,Henry County,22179,287,289
050,Missouri,Hickory County,9048,86,116
050,Missouri,Holt County,4905,65,68
050,Missouri,Howard County,9918,119,104
050,Missouri,Howell County,39000,558,449
050,Missouri,Iron County,9918,137,153
050,Missouri,Jackson County,668417,10583,5742
050,Missouri,Jasper County,116813,1923,1075
050,Missouri,Jefferson County,217679,3044,1643
050,Missouri,Johnson County,52016,790,349
050,Missouri,Knox County,4020,49,51
050,Missouri,Laclede County,35524,536,375
050,Missouri,Lafayette County,32913,436,356
050,Missouri,Lawrence County,37757,535,415
050,Missouri,Lewis County,9951,122,121
050,Missouri,Lincoln County,52775,827,373
050,Missouri,Linn County,12580,172,155
050,Missouri,Livingston County,14213,191,187
050,Missouri,McDonald County,22731,377,185
050,Missouri,Macon County,15621,204,215
050,Missouri,Madison County,12276,168,162
050,Missouri,Maries County,9046,112,106
050,Missouri,Marion County,28225,426,326
050,Missouri,Mercer County,3523,46,33
050,Missouri,Miller County,24949,340,277
050,Missouri,Mississippi County,13504,189,157
050,Missouri,Moniteau County,15121,231,131
050,Missouri,Monroe County,9127,103,102
050,Missouri,Montgomery County,11804,156,163
050,Missouri,Morgan County,20861,287,272
050,Missouri,New Madrid County,17589,238,230
050,Missouri,Newton County,56120,818,503
050,Missouri,Nodaway County,22054,250,186
050,Missouri,Oregon County,10264,127,124
050,Missouri,Osage County,13465,189,105
050,Missouri,Ozark County,9227,109,120
050,Missouri,Pemiscot County,18515,310,216
050,Missouri,Perry County,18743,265,190
050,Missouri,Pettis County,41006,642,385
050,Missouri,Phelps County,42205,602,407
050,Missouri,Pike County,18476,229,189
050,Missouri,Platte County,85896,1145,521
050,Missouri,Polk County,30404,445,322
050,Missouri,Pulaski County,44546,707,266
050,Missouri,Putnam County,4862,60,73
050,Missouri,Ralls County,9832,129,84
050,Missouri,Randolph County,25723,366,258
050,Missouri,Ray County,23445,307,224
050,Missouri,Reynolds County,6388,62,80
050,Missouri,Ripley County,13485,162,169
050,Missouri,St. Charles County,349407,4973,2041
050,Missouri,St. Clair County,9270,94,134
050,Missouri,Ste. Genevieve County,17720,195,167
050,Missouri,St. Francois County,63214,846,671
050,Missouri,St. Louis County,991830,12226,8931
050,Missouri,Saline County,22505,312,235
050,Missouri,Schuyler County,4110,47,47
050,Missouri,Scotland County,4798,72,66
050,Missouri,Scott County,40673,627,404
050,Missouri,Shannon County,8423,108,84
050,Missouri,Shelby County,6411,92,97
050,Missouri,Stoddard County,29537,376,349
050,Missouri,Stone County,31551,315,343
050,Missouri,Sullivan County,6629,96,73
050,Missouri,Taney County,47023,690,440
050,Missouri,Texas County,24598,315,286
050,Missouri,Vernon County,20009,281,223
050,Missouri,Warren County,31214,495,237
050,Missouri,Washington County,24548,358,255
050,Missouri,Wayne County,12652,137,192
050,Missouri,Webster County,36473,576,294
050,Missouri,Worth County,2039,21,22
050,Missouri,Wright County,18443,272,222
050,Missouri,St. Louis city,354361,5316,3389
040,Montana,Montana,967440,12726,8242
050,Montana,Beaverhead County,8903,96,82
050,Montana,Big Horn County,12841,274,96
050,Montana,Blaine County,6491,130,37
050,Montana,Broadwater County,4704,45,39
050,Montana,Carbon County,9657,88,99
050,Montana,Carter County,1234,8,8
050,Montana,Cascade County,82026,1177,742
050,Montana,Chouteau County,5225,47,56
050,Montana,Custer County,11149,133,142
050,Montana,Daniels County,1643,12,20
050,Montana,Dawson County,8490,106,104
050,Montana,Deer Lodge County,8843,79,117
050,Montana,Fallon County,2716,41,33
050,Montana,Fergus County,11195,100,157
